[00:12:43] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/11131, l='world', x=-148.15, y=64.00, z=-96.89]
[00:13:04] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/11308, l='world', x=-148.65, y=64.26, z=-136.66]
[00:16:02] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/11876, l='world', x=-145.55, y=64.00, z=-96.51]
[00:53:27] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/14915, l='world', x=-139.75, y=64.88, z=-137.25]
[01:06:47] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/16129, l='world', x=-147.91, y=64.00, z=-96.71]
[01:21:25] [Server thread/INFO]: Aw14 lost connection: Disconnected
[01:21:25] [Server thread/INFO]: Aw14 left the game
[01:39:23] [Server thread/INFO]: Narawich[/127.0.0.1:57612] logged in with entity id 17302 at (-116.78144273275048, 63.0625, -79.86120230896674)
[01:39:24] [Server thread/INFO]: Narawich joined the game
[01:39:31] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2007ms or 40 ticks behind
[01:46:09] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/17856, l='world', x=-149.17, y=64.00, z=-96.06]
[01:53:23] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/18538, l='world', x=-129.31, y=64.32, z=-124.45]
[01:53:49] [Server thread/INFO]: Aw14[/192.168.137.149:52673] logged in with entity id 18597 at (-132.59541966253627, 66.0, -108.68738340966509)
[01:53:49] [Server thread/INFO]: Aw14 joined the game
[02:01:03] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/19550, l='world', x=-142.57, y=64.88, z=-133.17]
[02:01:03] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/19550, l='world', x=-142.57, y=64.88, z=-133.17]
[02:01:22] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/19597, l='world', x=-140.73, y=64.26, z=-131.46]
[02:01:22] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/19597, l='world', x=-140.73, y=64.26, z=-131.46]
[02:13:56] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/21376, l='world', x=-132.82, y=64.26, z=-129.74]
[02:13:56] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/21376, l='world', x=-132.82, y=64.26, z=-129.74]
[02:14:02] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/21409, l='world', x=-134.36, y=64.26, z=-129.82]
[02:14:02] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/21409, l='world', x=-134.36, y=64.26, z=-129.82]
[02:22:23] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/22805, l='world', x=-133.90, y=64.32, z=-118.17]
[02:22:23] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/22805, l='world', x=-133.90, y=64.32, z=-118.17]
[02:24:30] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/23103, l='world', x=-138.77, y=64.00, z=-96.84]
[02:24:30] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/23103, l='world', x=-138.77, y=64.00, z=-96.84]
[02:44:19] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/25786, l='world', x=-147.93, y=64.00, z=-96.47]
[02:44:19] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/25786, l='world', x=-147.93, y=64.00, z=-96.47]
[02:46:09] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/25940, l='world', x=-147.40, y=64.00, z=-95.96]
[02:46:09] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/25940, l='world', x=-147.40, y=64.00, z=-95.96]
[03:01:51] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/27832, l='world', x=-149.55, y=64.26, z=-125.57]
[03:01:51] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/27832, l='world', x=-149.55, y=64.26, z=-125.57]
